year	reader_i	reader_j	dyad	trt_i	trt_j	birds_i	birds_j	dist_ij	pfor_ij	count	active_days
2015	M1_C	M1_NW	M1_C-M1_NW	center	connected	5	1	0.253237043103887	0	4	64
2015	M1_C	M1_S	M1_C-M1_S	center	connected	5	1	0.220927589947476	0	13	64
2015	M1_C	M2_C	M1_C-M2_C	center	center	5	6	2.03113490443151	0.421602787456446	0	64
2015	M1_C	M2_E	M1_C-M2_E	center	connected	5	1	1.85627826577806	0.381679389312977	0	64
2015	M1_C	M2_N	M1_C-M2_N	center	connected	5	6	2.15642110915285	0.496732026143791	0	64
2015	M1_C	M2_S	M1_C-M2_S	center	forest	5	0	1.94911723608407	0.588235294117647	0	64
2015	M1_C	M2_W	M1_C-M2_W	center	isolated	5	1	2.25266153693803	0.410658307210031	0	64
2015	M1_E	LOM_C	LOM_C-M1_E	isolated	center	4	0	3.55880120265238	0.826446280991736	0	64
2015	M1_E	LOM_N	LOM_N-M1_E	isolated	forest	4	0	3.3529707723152	0.856832971800434	0	64
2015	M1_E	LOM_NE	LOM_NE-M1_E	isolated	connected	4	0	3.34567377369641	0.933184855233853	0	64
2015	M1_E	LOM_SE	LOM_SE-M1_E	isolated	isolated	4	0	3.63630760525014	0.944099378881988	0	64
2015	M1_E	LOM_W	LOM_W-M1_E	isolated	forest	4	0	3.780001190476	0.859615384615385	0	64
2015	M1_E	M1_C	M1_C-M1_E	isolated	center	4	5	0.234616708697399	0.147058823529412	4	64
2015	M1_E	M1_NE	M1_E-M1_NE	isolated	forest	4	0	0.390103832331855	0.51219512195122	0	64
2015	M1_E	M1_NW	M1_E-M1_NW	isolated	connected	4	1	0.486261246656568	0.0588235294117647	0	64
2015	M1_E	M1_S	M1_E-M1_S	isolated	connected	4	1	0.350707855629155	0.181818181818182	0	64
2015	M1_E	M2_C	M1_E-M2_C	isolated	center	4	6	2.26189875989179	0.434375	0	64
2015	M1_E	M2_E	M1_E-M2_E	isolated	connected	4	1	2.08636190532707	0.440677966101695	0	64
2015	M1_E	M2_N	M1_E-M2_N	isolated	connected	4	6	2.39003953942189	0.448377581120944	0	64
2015	M1_E	M2_S	M1_E-M2_S	isolated	forest	4	0	2.17348130886833	0.557377049180328	0	64
2015	M1_E	M2_W	M1_E-M2_W	isolated	isolated	4	1	2.48305155000858	0.431818181818182	0	64
2015	M1_NE	LOM_C	LOM_C-M1_NE	forest	center	0	0	3.90076518134583	0.789272030651341	0	64
2015	M1_NE	LOM_N	LOM_N-M1_NE	forest	forest	0	0	3.68885592020073	0.785571142284569	0	64
2015	M1_NE	LOM_NE	LOM_NE-M1_NE	forest	connected	0	0	3.69603679635363	0.870636550308008	0	64
2015	M1_NE	LOM_SE	LOM_SE-M1_NE	forest	isolated	0	0	3.99037091007841	0.9021113243762	0	64
2015	M1_NE	LOM_W	LOM_W-M1_NE	forest	forest	0	0	4.11494155487049	0.792114695340502	0	64
2015	M1_NE	M1_C	M1_C-M1_NE	forest	center	0	5	0.244073759343359	0.823529411764706	0	64
2015	M1_NE	M1_E	M1_E-M1_NE	forest	isolated	0	4	0.390103832331855	0.51219512195122	0	64
2015	M1_NE	M1_NW	M1_NE-M1_NW	forest	connected	0	1	0.254709638608357	0.75	0	64
2015	M1_NE	M1_S	M1_NE-M1_S	forest	connected	0	1	0.449418513192325	0.296875	0	64
2015	M1_NE	M2_C	M1_NE-M2_C	forest	center	0	6	2.01102386858038	0.75	0	64
2015	M1_NE	M2_E	M1_NE-M2_E	forest	connected	0	1	1.84177007251177	0.756862745098039	0	64
2015	M1_NE	M2_N	M1_NE-M2_N	forest	connected	0	6	2.11247816556763	0.749163879598662	0	64
2015	M1_NE	M2_S	M1_NE-M2_S	forest	forest	0	0	1.95940858424168	0.683018867924528	0	64
2015	M1_NE	M2_W	M1_NE-M2_W	forest	isolated	0	1	2.2330768011871	0.724358974358974	0	64
2015	M1_NW	LOM_C	LOM_C-M1_NW	connected	center	1	0	3.81370423604138	0.755511022044088	0	64
2015	M1_NW	LOM_N	LOM_N-M1_NW	connected	forest	1	0	3.5953410130334	0.756302521008403	0	64
2015	M1_NW	LOM_NE	LOM_NE-M1_NW	connected	connected	1	0	3.62059622161875	0.881465517241379	0	64
2015	M1_NW	LOM_SE	LOM_SE-M1_NW	connected	isolated	1	0	3.9190714461464	0.889558232931727	0	64
2015	M1_NW	LOM_W	LOM_W-M1_NW	connected	forest	1	0	4.01883776731532	0.753271028037383	0	64
2015	M1_NW	M1_C	M1_C-M1_NW	connected	center	1	5	0.253237043103887	0	3	64
